537417 | 2026-06-28T19:00:00Z | LAST_32
537423 | 2026-06-29T17:00:00Z | LAST_32
537415 | 2026-06-29T20:30:00Z | LAST_32
537418 | 2026-06-30T01:00:00Z | LAST_32
537424 | 2026-06-30T17:00:00Z | LAST_32
537416 | 2026-06-30T21:00:00Z | LAST_32
537425 | 2026-07-01T01:00:00Z | LAST_32
537426 | 2026-07-01T16:00:00Z | LAST_32
537422 | 2026-07-01T20:00:00Z | LAST_32
537421 | 2026-07-02T00:00:00Z | LAST_32
537420 | 2026-07-02T19:00:00Z | LAST_32
537419 | 2026-07-02T23:00:00Z | LAST_32
537429 | 2026-07-03T03:00:00Z | LAST_32
537428 | 2026-07-03T18:00:00Z | LAST_32
537427 | 2026-07-03T22:00:00Z | LAST_32
537430 | 2026-07-04T01:30:00Z | LAST_32
537376 | 2026-07-04T17:00:00Z | LAST_16
537375 | 2026-07-04T21:00:00Z | LAST_16
537377 | 2026-07-05T20:00:00Z | LAST_16
537378 | 2026-07-06T00:00:00Z | LAST_16
537379 | 2026-07-06T19:00:00Z | LAST_16
537380 | 2026-07-07T00:00:00Z | LAST_16
537381 | 2026-07-07T16:00:00Z | LAST_16
537382 | 2026-07-07T20:00:00Z | LAST_16
537383 | 2026-07-09T20:00:00Z | QUARTER_FINALS
537384 | 2026-07-10T19:00:00Z | QUARTER_FINALS
537385 | 2026-07-11T21:00:00Z | QUARTER_FINALS
537386 | 2026-07-12T01:00:00Z | QUARTER_FINALS
537387 | 2026-07-14T19:00:00Z | SEMI_FINALS
537388 | 2026-07-15T19:00:00Z | SEMI_FINALS
537389 | 2026-07-18T21:00:00Z | THIRD_PLACE
537390 | 2026-07-19T19:00:00Z | FINAL
